P.s,Item,Cond,Antecedent,Consequent,spillover,Fit
20,17,2,2250,671,2835,Low
20,18,1,1041,1094,2620,High
21,1,1,321,341,956,High
21,2,2,393,516,2225,Low
21,3,1,530,1749,2093,High
21,4,2,815,641,1294,Low
21,5,1,274,826,1780,High
21,6,2,2099,1103,2020,Low
21,7,1,508,1033,1783,High
21,8,2,2230,800,2389,Low
21,9,1,1178,1480,1246,High
21,10,2,1406,1865,1366,Low
21,11,1,461,1384,4743,High
21,12,2,573,826,2118,Low
21,13,1,439,620,1730,High
21,14,2,528,570,1544,Low
21,15,1,249,1505,3312,High
21,16,2,1078,563,2780,Low
21,17,1,365,591,1594,High
21,18,2,207,402,936,Low
22,1,2,774,678,1981,Low
22,2,1,530,574,2501,High
22,3,2,1348,1362,1400,Low
22,4,1,982,1001,1706,High
22,5,2,331,552,1756,Low
22,6,1,620,390,1080,High
22,7,2,347,1000,1725,Low
22,8,1,938,1079,2391,High
22,9,2,537,743,1010,Low
22,10,1,929,850,2397,High
22,11,2,1708,882,4739,Low
22,12,1,564,395,2575,High
22,13,2,513,609,2312,Low
22,14,1,1137,1026,1235,High
22,15,2,336,809,2153,Low
22,16,1,402,1109,2060,High
22,17,2,761,326,764,Low
22,18,1,1267,1246,2049,High
23,1,1,402,735,1081,High
23,2,2,1934,617,2863,Low
23,3,1,545,691,1310,High
23,4,2,1378,1746,1625,Low
23,5,1,1455,1335,1529,High
23,6,2,3248,903,3086,Low
23,7,1,2131,1977,3093,High
23,8,2,2021,1514,3342,Low
23,9,1,1210,1712,2571,High
23,10,2,3249,2234,2145,Low
23,11,1,976,845,2838,High
23,12,2,640,640,6613,Low
23,13,1,493,677,6662,High
23,14,2,1336,1698,1643,Low
23,15,1,1604,3099,2551,High
23,16,2,2325,949,2155,Low
23,17,1,1339,996,1710,High
23,18,2,478,1436,2164,Low
24,1,2,552,505,1612,Low
24,2,1,319,478,2084,High
24,3,2,286,1081,1077,Low
24,4,1,152,1023,1965,High
24,5,2,338,621,1849,Low
24,6,1,1631,583,2349,High
24,7,2,399,1003,2422,Low
24,8,1,578,529,943,High
24,9,2,880,1902,815,Low
24,10,1,1029,1436,2561,High
24,11,2,1319,569,3311,Low
24,12,1,440,413,1427,High
24,13,2,639,386,2491,Low
24,14,1,519,824,1335,High
24,15,2,543,770,2413,Low
24,16,1,179,542,2510,High
24,17,2,688,299,1329,Low
24,18,1,272,539,950,High
